Mar19,56,64,128,256,512,1024,2048
Mar20,56,64,128,256,512,1024,2048
9,1367.508,1180.622,814.533,1236.054,1128.544,1204.146,1263.024
11,613.645,553.54,561.699,505.718,529.204,493.963,650.813
13,434.422,429.474,507.805,458.03,549.0,462.16,458.729
16,547.462,635.999,699.261,600.864,625.95,593.404,554.968
19,390.099,727.608,363.419,578.437,775.858,2633.274,1591.634
Mar21,56,64,128,256,512,1024,2048
0,485.346,689.818,519.708,442.228,463.216,449.739,1433.866
9,568.804,676.02,1149.403,1545.466,1573.867,1307.41,639.413
11,405.909,912.45,952.805,1857.911,1426.132,1066.182,1458.351
13,1234.506,1126.927,1406.581,1261.26,1608.98,1728.981,1147.846
15,941.35,929.974,1299.155,INF,4451.534,3999.97,1514.886
18,420.442,462.978,INF,INF,INF,INF,INF
19,926.108,800.729,846.895,892.024,1220.235,3822.969,INF
Mar22,56,64,128,256,512,1024,2048
0,389.218,434.26,600.063,534.308,447.416,487.429,489.882
9,478.307,412.15,750.302,387.755,488.492,439.048,488.423
11,665.895,1193.219,537.401,1454.072,2357.072,623.195,598.883
13,1121.868,809.047,1365.573,1658.68,1550.325,2198.477,798.708
18,755.347,910.552,1267.708,1328.244,1490.831,1857.587,1328.385
20,607.68,551.398,580.665,484.273,466.756,476.894,427.372
Mar23,56,64,128,256,512,1024,2048
0,711.196,568.977,1616.853,966.896,514.599,560.33,494.892
Mar24,56,64,128,256,512,1024,2048
